id;title;brand;normal_price;low_price;high_price;oferta;categoria1;categoria2;datetime;Atributos;sin_stock;page;ahorro;ahorro_percent;kilo
118;Pasta dental Total 12 clean mint 3 un. 75 ml;Colgate;6790.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
119;Toallas higiénicas Kotex Ultrafina nocturna con alas 15 un.;Kotex;2590.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
120;Cepillo dental Twister Fresh medio 3 un.;Colgate;2849.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
121;Toallas higiénicas Nosotras Sensitiv ultra invisible 8 un.;Nosotras;1339.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;0.0;0.0;1.0
122;Toallas higiénicas Always Seca Noche ultrafina 8 un.;Always;1579.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;0.0;0.0;1.0
123;Shampoo liso 600 ml;Vanart;0.0;2690.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;-2690.0;-4.104;1.0
124;Desodorante barra aclarado Natural Classic Touch 43 g;Nivea;0.0;3199.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;-3199.0;-4.88;1.0
125;Shampoo aclarante doypack 400 ml;Tío Nacho;0.0;4990.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;-4990.0;-7.612;1.0
126;Jabón líquido cremoso Soft 750 ml;Nivea;2699.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;0.0;0.0;1.0
127;Desodorante Black & White máxima protección 150 ml;Nivea;0.0;2890.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;-2890.0;-4.409;1.0
128;Enjuague bucal Cool Mint Zero alcohol 1 L;Listerine;7989.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;4;0.0;0.0;1.0
